NomeEvento,IDEvento,CodPais,TimeZone,DataAbertura,TotalMercados,DataLocal
Elgin City FC v Kelty Hearts,33819655,GB,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
Albinoleffe v Lecco,33822210,IT,GMT,2024-11-30 14:00:00,24,2024-11-30 11:00:00
Cassis-Carnoux v Hauts Lyonnais,33827843,FR,GMT,2024-11-30 17:00:00,24,2024-11-30 14:00:00
Racing Santander v Mirandes,33814025,ES,GMT,2024-11-30 17:30:00,24,2024-11-30 14:30:00
Pesaro v Lucchese,33822728,IT,GMT,2024-11-30 14:00:00,24,2024-11-30 11:00:00
Gzira United FC v Naxxar Lions,33827848,MT,GMT,2024-11-30 16:00:00,24,2024-11-30 13:00:00
Renate v A.C. Trento S.C.S.D.,33822216,IT,GMT,2024-11-30 16:30:00,24,2024-11-30 13:30:00
Waasland-Beveren v Patro Eisden Maasmechelen,33813523,BE,GMT,2024-11-30 19:00:00,24,2024-11-30 16:00:00
Newtown v Connahs Quay,33827348,GB,GMT,2024-11-30 14:30:00,24,2024-11-30 11:30:00
Widzew Lodz v Rakow Czestochowa,33816598,PL,GMT,2024-11-30 19:15:00,24,2024-11-30 16:15:00
Basaksehir v Goztepe,33814033,TR,GMT,2024-11-30 16:00:00,33,2024-11-30 13:00:00
Erzgebirge v Verl,33814544,DE,GMT,2024-11-30 13:00:00,12,2024-11-30 10:00:00
Hebar v CSKA Sofia,33772560,BG,GMT,2024-11-30 15:30:00,24,2024-11-30 12:30:00
Stuttgart II v Waldhof Mannheim,33813520,DE,GMT,2024-11-30 15:30:00,24,2024-11-30 12:30:00
Bourgoin Jallieu v Valence AS,33827856,FR,GMT,2024-11-30 17:00:00,24,2024-11-30 14:00:00
FC Legnago v Carpi,33822737,IT,GMT,2024-11-30 16:30:00,24,2024-11-30 13:30:00
Hannover II v Dortmund II,33814548,DE,GMT,2024-11-30 13:00:00,18,2024-11-30 10:00:00
Crusaders v Dungannon,33813530,GB,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
Miedz Legnica v GKS Tychy,33817118,PL,GMT,2024-11-30 13:30:00,24,2024-11-30 10:30:00
Kotwica Kolobrzeg v Wisla Plock,33817119,PL,GMT,2024-11-30 16:30:00,24,2024-11-30 13:30:00
Unirea Slobozia v Hermannstadt,33811487,RO,GMT,2024-11-30 13:00:00,18,2024-11-30 10:00:00
Slask Wroclaw v Puszcza Niepolomice,33816602,PL,GMT,2024-11-30 13:45:00,24,2024-11-30 10:45:00
Almeria v Granada,33820186,ES,GMT,2024-11-30 15:15:00,24,2024-11-30 12:15:00
Botev Vratsa v PFC Levski Sofia,33772572,BG,GMT,2024-11-30 13:00:00,24,2024-11-30 10:00:00
Barnsley v Bristol Rovers,33807907,GB,GMT,2024-11-30 15:00:00,33,2024-11-30 12:00:00
Nacional Potosi v Blooming Santa Cruz,33824805,BO,GMT,2024-11-30 19:00:00,24,2024-11-30 16:00:00
Cambridge Utd v Wigan,33807906,GB,GMT,2024-11-30 15:00:00,33,2024-11-30 12:00:00
Gloria Buzau v Poli Iasi,33811490,RO,GMT,2024-11-30 15:30:00,24,2024-11-30 12:30:00
Busaiteen Club v Al-Ittihad (BRN),33824294,BH,GMT,2024-11-30 16:00:00,24,2024-11-30 13:00:00
Bologna v Venezia,33772065,IT,GMT,2024-11-30 19:45:00,43,2024-11-30 16:45:00
Dinamo Bucharest v ACS Sepsi OSK,33811488,RO,GMT,2024-11-30 18:30:00,24,2024-11-30 15:30:00
FC Nordjaelland U19 v Sonderjyske U19,33830432,DK,GMT,2024-11-30 12:30:00,16,2024-11-30 09:30:00
Stevenage v Mansfield,33807915,GB,GMT,2024-11-30 15:00:00,33,2024-11-30 12:00:00
SV Darmstadt v Preussen Munster,33811499,DE,GMT,2024-11-30 19:30:00,33,2024-11-30 16:30:00
Stockport v Brackley Town,33807912,GB,GMT,2024-11-30 15:00:00,33,2024-11-30 12:00:00
Zemplin v Ruzomberok,33816623,SK,GMT,2024-11-30 14:30:00,24,2024-11-30 11:30:00
Bolivar v Royal Pari,33824815,BO,GMT,2024-11-30 21:30:00,24,2024-11-30 18:30:00
Exeter v Chesterfield,33807919,GB,GMT,2024-11-30 15:00:00,33,2024-11-30 12:00:00
Um Al Hassam v Al Hidd,33824298,BH,GMT,2024-11-30 16:00:00,24,2024-11-30 13:00:00
Podbrezova v Dunajska Streda,33816629,SK,GMT,2024-11-30 17:00:00,24,2024-11-30 14:00:00
England (W) v USA (W),33825334,,GMT,2024-11-30 17:20:00,24,2024-11-30 14:20:00
GKS Katowice v Lechia Gdansk,33811505,PL,GMT,2024-11-30 16:30:00,24,2024-11-30 13:30:00
Morecambe v Bradford,33807920,GB,GMT,2024-11-30 15:00:00,33,2024-11-30 12:00:00
Etihad Al Reef v Isa Town FC,33824304,BH,GMT,2024-11-30 16:00:00,24,2024-11-30 13:00:00
Peterhead v Montrose,33814070,GB,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
Bohemians 1905 v Slovacko,33819186,CZ,GMT,2024-11-30 12:30:00,14,2024-11-30 09:30:00
Mantova v Modena,33811508,IT,GMT,2024-11-30 16:15:00,24,2024-11-30 13:15:00
Spartak Trnava v MFK Skalica,33816627,SK,GMT,2024-11-30 14:30:00,24,2024-11-30 11:30:00
Teplice v Sigma Olomouc,33819187,CZ,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
Peterborough v Notts Co,33807931,GB,GMT,2024-11-30 15:00:00,33,2024-11-30 12:00:00
AC Milan v Empoli,33772090,IT,GMT,2024-11-30 17:00:00,43,2024-11-30 14:00:00
Test C v Test V,33455556,RO,GMT,2024-11-30 18:00:00,39,2024-11-30 15:00:00
Como v AC Monza,33772089,IT,GMT,2024-11-30 14:00:00,43,2024-11-30 11:00:00
Trencin v Zilina,33816632,SK,GMT,2024-11-30 14:30:00,24,2024-11-30 11:30:00
Zaragoza v Albacete,33813566,ES,GMT,2024-11-30 15:15:00,24,2024-11-30 12:15:00
Crawley Town v Lincoln,33807932,GB,GMT,2024-11-30 15:00:00,33,2024-11-30 12:00:00
Corum Belediyespor v Erzurum BB,33813564,TR,GMT,2024-11-30 16:00:00,24,2024-11-30 13:00:00
AFC Wimbledon v Dag and Red,33807939,GB,GMT,2024-11-30 19:15:00,33,2024-11-30 16:15:00
FC Liefering v SKU Amstetten,33812033,AT,GMT,2024-11-30 13:30:00,22,2024-11-30 10:30:00
Salford City v Cheltenham,33807943,GB,GMT,2024-11-30 15:00:00,33,2024-11-30 12:00:00
Stranraer v Broxburn Athletic,33814086,GB,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
Walsall v Charlton,33807940,GB,GMT,2024-11-30 15:00:00,33,2024-11-30 12:00:00
Leyton Orient v Oldham,33807947,GB,GMT,2024-11-30 15:00:00,33,2024-11-30 12:00:00
Queens Park v Partick,33814091,GB,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
Iraklis v PAS Giannina,33822287,GR,GMT,2024-11-30 13:00:00,17,2024-11-30 10:00:00
Toluca v CF America,33824841,MX,GMT,2024-11-30 23:00:00,24,2024-11-30 20:00:00
Accrington v Swindon,33807952,GB,GMT,2024-11-30 15:00:00,33,2024-11-30 12:00:00
FC Oss v Jong FC Utrecht,33820247,NL,GMT,2024-11-30 15:30:00,24,2024-11-30 12:30:00
Asteras Tripolis II v Panachaiki,33822288,GR,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
Ceramica Cleopatra v Future FC,33816668,EG,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
CC Riadi Salmi v FAR Rabat,33826904,MA,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
test a v test b,33455523,RO,GMT,2024-11-30 15:00:00,39,2024-11-30 12:00:00
Arbroath v Queen of South,33813596,GB,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
Cove Rangers v Inverness CT,33813603,GB,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
Lusitania Futebol Clube v Varzim,33816676,PT,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
Academica v Oliveira Hospital,33816679,PT,GMT,2024-11-30 17:30:00,24,2024-11-30 14:30:00
Wisla Krakow v LKS Lodz,33812071,PL,GMT,2024-11-30 18:35:00,24,2024-11-30 15:35:00
Atletico Independiente v Plaza Amador,33824865,PA,GMT,2024-11-30 23:15:00,24,2024-11-30 20:15:00
Libertad FC v Emelec,33812581,EC,GMT,2024-11-30 20:30:00,24,2024-11-30 17:30:00
Delfin v Cumbaya FC,33820776,EC,GMT,2024-11-30 20:30:00,24,2024-11-30 17:30:00
Imbabura Sporting Club v Aucas,33820777,EC,GMT,2024-11-30 20:30:00,24,2024-11-30 17:30:00
Banks O'Dee v Hamilton,33813614,GB,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
Clydebank v Buckie Thistle,33813613,GB,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
Ayr v Morton,33813612,GB,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
Cacereno v CD Illescas,33820276,ES,GMT,2024-11-30 16:30:00,24,2024-11-30 13:30:00
Macara v Univ Catolica (Ecu),33820791,EC,GMT,2024-11-30 18:00:00,24,2024-11-30 15:00:00
Anderlecht B v Lierse,33811575,BE,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
